s,object_type
10352219h,http://example.com/ontology/Hotel
10356402m,http://example.com/ontology/Museum
10359230b,http://example.com/ontology/Build
103618349m,http://example.com/ontology/Museum
103621847m,http://example.com/ontology/Museum
103623268m,http://example.com/ontology/Museum
1036560m,http://example.com/ontology/Museum
10367728m,http://example.com/ontology/Museum
10368094m,http://example.com/ontology/Museum
1037126m,http://example.com/ontology/Museum
10373050m,http://example.com/ontology/Museum
10373052m,http://example.com/ontology/Museum
10376507m,http://example.com/ontology/Museum
103776961m,http://example.com/ontology/Museum
103790440m,http://example.com/ontology/Museum
103802422m,http://example.com/ontology/Museum
103807293m,http://example.com/ontology/Museum
103810512m,http://example.com/ontology/Museum
103811640m,http://example.com/ontology/Museum
103812976m,http://example.com/ontology/Museum
103813473m,http://example.com/ontology/Museum
103813610m,http://example.com/ontology/Museum
10381549m,http://example.com/ontology/Museum
103818049b,http://example.com/ontology/Build
103826502m,http://example.com/ontology/Museum
103843155b,http://example.com/ontology/Build
103843205m,http://example.com/ontology/Museum
1038473w,http://example.com/ontology/World_Heritage
103849450m,http://example.com/ontology/Museum
103861978m,http://example.com/ontology/Museum
1039,http://example.com/ontology/Country
10396695m,http://example.com/ontology/Museum
10400349m,http://example.com/ontology/Museum
10403938m,http://example.com/ontology/Museum
10404320m,http://example.com/ontology/Museum
104062612b,http://example.com/ontology/Build
1040665b,http://example.com/ontology/Build
104089642b,http://example.com/ontology/Build
104089749b,http://example.com/ontology/Build
104091923b,http://example.com/ontology/Build
104092305m,http://example.com/ontology/Museum
104092585b,http://example.com/ontology/Build
104093056m,http://example.com/ontology/Museum
104093065m,http://example.com/ontology/Museum
104093112m,http://example.com/ontology/Museum
104093133m,http://example.com/ontology/Museum
104093172m,http://example.com/ontology/Museum
104093333m,http://example.com/ontology/Museum
104094413m,http://example.com/ontology/Museum
104094414m,http://example.com/ontology/Museum
104094417m,http://example.com/ontology/Museum
104094419m,http://example.com/ontology/Museum
104094422m,http://example.com/ontology/Museum
104094423m,http://example.com/ontology/Museum
104094424m,http://example.com/ontology/Museum
104094437m,http://example.com/ontology/Museum
104094438m,http://example.com/ontology/Museum
104094483m,http://example.com/ontology/Museum
104096341m,http://example.com/ontology/Museum
104097077m,http://example.com/ontology/Museum
104097094m,http://example.com/ontology/Museum
104097175m,http://example.com/ontology/Museum
104097189m,http://example.com/ontology/Museum
104097201m,http://example.com/ontology/Museum
104097204m,http://example.com/ontology/Museum
104097206m,http://example.com/ontology/Museum
104097207m,http://example.com/ontology/Museum
104097208m,http://example.com/ontology/Museum
104097209m,http://example.com/ontology/Museum
104097210m,http://example.com/ontology/Museum
104097211m,http://example.com/ontology/Museum
104097212m,http://example.com/ontology/Museum
104097213m,http://example.com/ontology/Museum
104097214m,http://example.com/ontology/Museum
104097215m,http://example.com/ontology/Museum
104097216m,http://example.com/ontology/Museum
104097218m,http://example.com/ontology/Museum
104097219m,http://example.com/ontology/Museum
104097368m,http://example.com/ontology/Museum
104097435m,http://example.com/ontology/Museum
104097437m,http://example.com/ontology/Museum
104097438m,http://example.com/ontology/Museum
104097444m,http://example.com/ontology/Museum
104097446m,http://example.com/ontology/Museum
104097448m,http://example.com/ontology/Museum
104097449m,http://example.com/ontology/Museum
104097451m,http://example.com/ontology/Museum
104097453m,http://example.com/ontology/Museum
104097455m,http://example.com/ontology/Museum
104097458m,http://example.com/ontology/Museum
104097541m,http://example.com/ontology/Museum
104097678m,http://example.com/ontology/Museum
104097679m,http://example.com/ontology/Museum
104097680m,http://example.com/ontology/Museum
104097683m,http://example.com/ontology/Museum
104097684m,http://example.com/ontology/Museum
104097685m,http://example.com/ontology/Museum
104097686m,http://example.com/ontology/Museum
104097687m,http://example.com/ontology/Museum
104097688m,http://example.com/ontology/Museum
104097689m,http://example.com/ontology/Museum
104097690m,http://example.com/ontology/Museum
104097691m,http://example.com/ontology/Museum
104097693m,http://example.com/ontology/Museum
104125939b,http://example.com/ontology/Build
10413418m,http://example.com/ontology/Museum
104144801b,http://example.com/ontology/Build
104144921b,http://example.com/ontology/Build
104157193m,http://example.com/ontology/Museum
1041612b,http://example.com/ontology/Build
104170346m,http://example.com/ontology/Museum
10419743b,http://example.com/ontology/Build
104216887b,http://example.com/ontology/Build
104219666b,http://example.com/ontology/Build
104220570b,http://example.com/ontology/Build
104223675b,http://example.com/ontology/Build
104224661b,http://example.com/ontology/Build
104234251h,http://example.com/ontology/Hotel
10423435m,http://example.com/ontology/Museum
10423688m,http://example.com/ontology/Museum
104237660m,http://example.com/ontology/Museum
104249648m,http://example.com/ontology/Museum
10426084m,http://example.com/ontology/Museum
10427890m,http://example.com/ontology/Museum
10427893m,http://example.com/ontology/Museum
10428447m,http://example.com/ontology/Museum
10428494w,http://example.com/ontology/World_Heritage
10429277m,http://example.com/ontology/Museum
10429834m,http://example.com/ontology/Museum
10429920m,http://example.com/ontology/Museum
10430533m,http://example.com/ontology/Museum
10432135m,http://example.com/ontology/Museum
