s,name
96757505h,Pazo of the Maceda Counts
96787014h,Hilton Garden Inn Kuwait
979477h,Athenee Palace Hilton Bucharest
98407274h,Albertinkatu 34 - Lönnrotinkatu 26
98407275h,Albertinkatu 34
98407311h,Annankatu 1
98412731h,Hotelli Helsinki
98412733h,Hotelli Marskin talo
98413370h,Kanavakatu 8
98432053h,Pohjoinen Rautatiekatu 23
98433308h,Valion juustovaraston rakennus
98433345h,Valtion biokemiallisen tutkimuslaitoksen laboratoriorakennus
98433742h,Katajanokan vankilan rakennus
98433825h,Suomi-yhtiön talo
98550889h,Villa Gaia
98582250h,Hotel Villa
9871323h,Convento das Eremitas de Santo Agostinho
98784123h,"Stadshotellet, Karlstad"
99454646h,Conrad Bengaluru
99583717h,Hôtel van Ertborn
https://www.wikidata.org/wiki/Q1092961,Circus Circus Las Vegas
https://www.wikidata.org/wiki/Q1096141,Act Tower
https://www.wikidata.org/wiki/Q1127749,Hotel Kämp
https://www.wikidata.org/wiki/Q1143174,Ritz-Carlton Toronto
https://www.wikidata.org/wiki/Q1147483,Sahara Las Vegas
https://www.wikidata.org/wiki/Q1200583,Desert Inn
https://www.wikidata.org/wiki/Q12072758,Westin Book Cadillac Hotel
https://www.wikidata.org/wiki/Q1221513,Grand Hôtel
https://www.wikidata.org/wiki/Q12495,Burj Khalifa
https://www.wikidata.org/wiki/Q1281171,Trump Hotel Las Vegas
https://www.wikidata.org/wiki/Q1304383,Waldorf Astoria Las Vegas
https://www.wikidata.org/wiki/Q1309059,Wynn Las Vegas
https://www.wikidata.org/wiki/Q13529180,Hilton London Hyde Park
https://www.wikidata.org/wiki/Q1368043,Mandalay Bay
https://www.wikidata.org/wiki/Q1368798,SEG Plaza
https://www.wikidata.org/wiki/Q1426968,Flamingo Las Vegas
https://www.wikidata.org/wiki/Q1430318,Rossiya Hotel
https://www.wikidata.org/wiki/Q145361,Gezirah Palace
https://www.wikidata.org/wiki/Q1457875,Villa Crespi
https://www.wikidata.org/wiki/Q14705265,Resorts World Las Vegas
https://www.wikidata.org/wiki/Q15125469,Prinzenpalais
https://www.wikidata.org/wiki/Q151599,Metropolis
https://www.wikidata.org/wiki/Q15228738,InterContinental Budapest
https://www.wikidata.org/wiki/Q1541365,Renaissance Center
https://www.wikidata.org/wiki/Q15909474,Hengshan Picardie Hotel
https://www.wikidata.org/wiki/Q15978898,Berry Head House
https://www.wikidata.org/wiki/Q1682221,Dagebüll lighthouse
https://www.wikidata.org/wiki/Q16843761,Hilton Diagonal Mar Barcelona
https://www.wikidata.org/wiki/Q168575,CTF Finance Centre
https://www.wikidata.org/wiki/Q16890775,Crown Sydney
