p_id,c_id
318422w,774w
328488w,974w
22647w,43w
272768w,1042w
305044w,902w
19053w,41w
27356w,851w
66050835w,29w
66057944w,794w
66057945w,794w
66057984w,796w
66057594w,252w
66057625w,148w
66057630w,155w
66062086w,29w
66065255w,29w
66089904w,17w
66092179w,17w
66124375w,17w
66132602w,819w
66132603w,819w
66132607w,819w
66133766w,423w
66134815w,843w
66145745w,851w
66198242w,884w
66207258w,878w
66207318w,878w
66213453w,881w
97630178w,29w
97631479w,29w
97631595w,29w
106580786w,29w
106581264w,29w
106583260w,29w
106590082w,29w
106590085w,29w
106594301w,29w
86486w,242w
99372w,31w
118468w,842w
2061016w,145w
17645247w,145w
17645260w,145w
64787367w,159w
64798096w,159w
64811590w,145w
64811591w,145w
64811594w,145w
64811592w,145w
64811598w,145w
64811606w,145w
64811612w,145w
64811623w,145w
64811624w,145w
64811635w,145w
64811638w,145w
64811637w,145w
64811642w,145w
64811641w,145w
64811644w,145w
64811648w,145w
64811655w,145w
64811664w,145w
64811670w,145w
64811672w,145w
64811679w,145w
64811694w,145w
64811713w,145w
64811722w,145w
64811720w,145w
64811736w,145w
64811765w,145w
64811795w,145w
64811803w,145w
64811808w,145w
64811817w,145w
64811841w,145w
64811844w,145w
64811899w,145w
64811896w,145w
64811945w,183w
64811970w,183w
64811993w,183w
64812019w,183w
64812087w,183w
64812107w,183w
64812104w,183w
64812144w,183w
64812213w,183w
64812298w,183w
64812308w,183w
64812315w,183w
64812312w,183w
64812391w,183w
64812420w,183w
64819258w,145w
64819274w,145w
64821764w,183w
64821768w,183w
64821769w,183w
64824439w,183w
64824442w,183w
64824468w,213w
64828704w,142w
64829134w,142w
64829430w,142w
106634515w,29w
245151w,29w
3201319w,17w
5055467w,794w
28163477w,843w
61867409w,38w
65944708w,948w
65953849w,889w
65953897w,889w
65954052w,398w
65965238w,148w
65965322w,148w
65965324w,148w
65966782w,148w
65967165w,148w
65969274w,29w
65969284w,29w
66000294w,668w
66000325w,668w
66004181w,668w
66023670w,794w
66023674w,794w
66054705w,183w
66054735w,183w
66057938w,794w
66057990w,796w
66057988w,796w
66057047w,36w
66058304w,29w
65944741w,948w
66057620w,148w
107675480w,29w
108096731w,298w
108379504w,739w
29384w,822w
28471w,29w
43277w,794w
173532w,822w
4513w,668w
4107w,148w
106824101w,29w
106875127w,29w
106882030w,29w
192237w,1016w
156011w,31w
156011w,29w
156011w,38w
156011w,39w
156011w,36w
156011w,40w
156011w,142w
156011w,183w
156011w,214w
156011w,215w
156011w,212w
156011w,213w
156011w,218w
156011w,219w
156011w,222w
156011w,221w
156011w,224w
156011w,225w
4516w,252w
4528w,668w
4521w,252w
181123w,668w
462702w,229w
464942w,29w
191763w,17w
205832w,41w
506511w,668w
539518w,1025w
564321w,1019w
19833w,38w
46074w,148w
54898w,29w
64812426w,183w
64812436w,183w
64812448w,183w
64812457w,183w
64812468w,183w
64812522w,183w
64812549w,183w
64812623w,183w
64812638w,183w
64812671w,183w
64816691w,145w
64816696w,145w
64822016w,183w
64830378w,142w
64830469w,142w
64830490w,142w
64830501w,142w
64850483w,29w
64850540w,29w
64860994w,29w
64987084w,29w
64987103w,29w
64987105w,29w
64987124w,29w
65007090w,232w
65010442w,38w
65011083w,38w
65011756w,38w
65028264w,38w
65028277w,38w
65028376w,38w
65099422w,408w
65099436w,408w
65099441w,408w
65099444w,408w
65099460w,408w
65099469w,408w
65099484w,408w
65100019w,408w
65114438w,800w
65132921w,774w
65335758w,96w
65460899w,96w
65465058w,96w
65494543w,96w
65494609w,96w
65498055w,96w
65498879w,96w
65531370w,414w
65531391w,414w
43014w,38w
211962w,15180w
211962w,159w
211962w,34266w
211962w,186096w
23513w,881w
151963w,183w
155495w,159w
445649w,37w
457324w,974w
459629w,262w
705132w,43w
724484w,262w
736692w,45w
89675w,218w
163607w,424w
594282w,79w
606763w,794w
647958w,145w
75459w,41w
141080w,29w
158324w,183w
106608819w,29w
106614023w,29w
47476w,29w
47611w,43w
126084w,801w
138986w,805w
270725w,159w
273195w,30w
134927w,148w
135779w,43w
120730w,17w
854672w,874w
854672w,1986139w
42798w,252w
747875w,408w
799893w,902w
127963w,794w
131198w,408w
921745w,29w
938685w,954w
1135808w,408w
179883w,38w
189934w,730w
1218832w,159w
1265889w,55w
1265889w,183w
1405154w,1019w
156308w,36w
156308w,183w
48472w,874w
61757w,28w
223385w,414w
207193w,27w
650546w,912w
685476w,183w
688060w,39w
1761052w,34w
1969107w,1019w
2707802w,38w
151545w,183w
155743w,36w
501344w,1008w
201698w,142w
203241w,38w
202494w,142w
69307w,55w
28061w,414w
28416w,96w
213237w,414w
220289w,30w
174139w,17w
178835w,822w
391973w,224w
396132w,34w
122082w,219w
152225w,709w
274131w,30w
278512w,155w
267394w,155w
272771w,96w
217379w,41w
217452w,142w
212205w,20w
775154w,800w
797120w,96w
824602w,928w
12156631w,29w
12193567w,810w
15278743w,833w
15278712w,184w
15726282w,924w
15813904w,30w
15924669w,43w
209643w,184w
212214w,38w
499019w,1049w
499527w,843w
501153w,298w
334150w,142w
380470w,159w
421806w,36w
456817w,668w
459493w,183w
477051w,29w
310049w,858w
326951w,664w
333850w,142w
277531w,858w
306978w,148w
189648w,668w
190128w,881w
273834w,148w
305169w,739w
3888860w,819w
5773394w,43w
5821857w,29w
7698713w,41w
7769551w,17w
9603543w,29w
11352141w,38w
159070w,801w
186312w,801w
3046409w,334w
3076575w,863w
3207298w,39w
3331815w,419w
3664670w,222w
206236w,796w
209217w,954w
235004w,928w
234783w,227w
229610w,1049w
242741w,41w
263567w,183w
391215w,1028w
391406w,881w
503828w,155w
505175w,399w
540964w,145w
1408909w,842w
1435206w,781w
1614152w,35w
1632877w,148w
876685w,41w
911953w,30w
911953w,96w
917369w,419w
308807w,1016w
324638w,17w
331996w,29w
650710w,750w
696803w,29w
636714w,241w
645105w,224w
729327w,218w
1038473w,148w
1046818w,148w
1106554w,148w
1280433w,36w
458167w,1019w
463159w,142w
482423w,884w
495286w,884w
257598w,16w
277576w,159w
573209w,183w
592512w,403w
623978w,884w
635473w,408w
192243w,20w
192243w,34w
192243w,33w
192243w,37w
192243w,159w
192243w,184w
192243w,191w
192243w,211w
192243w,212w
192243w,217w
2521895w,155w
2601433w,148w
2887224w,739w
2987951w,142w
2990490w,155w
3034552w,142w
636194w,34w
639217w,183w
649738w,45w
750675w,31w
750675w,142w
390028w,30w
392365w,214w
332800w,228w
339489w,27w
750248w,29w
751146w,96w
752318w,213w
826452w,213w
29583972w,38w
29583979w,39w
29583982w,39w
29908600w,928w
30074932w,17w
30909107w,29w
32035015w,29w
32064050w,183w
35430996w,38w
43116068w,29w
43116614w,29w
43118160w,29w
43147383w,29w
43147412w,29w
43151524w,29w
914231w,55w
927108w,928w
854267w,36w
877626w,17w
903792w,96w
